,FPR95,AUROC,AUPR
SVHN,1.81,99.62,99.63
places365,27.18,95.04,95.41
iSUN,11.14,97.69,98.4
dtd,13.26,97.77,98.83
LSUN,2.23,99.36,99.46
AVG,11.12,97.9,98.35
